Ref,Grant Recipient,State,Federal Award FY 2015,Federal Award FY 2016,Federal Award FY 2017 ,Federal Award FY 2018,Federal Award FY 2019 ,Total,BJA Link 1,BJA Link 2,BJA Link 3
BJA186,Fayette County,KY,,,87000,,,87000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA034,Fayetteville,AR,,186496,,,,186496,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA238,"Fayetteville, City of",NC,530000,,,,,530000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA025,Florence,AL,,69916,,,,69916,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA109,Florida A & M University,FL,,,22458,,,22458,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA063,Foothill De Anza,CA,,27194,,,,27194,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA164,"Forest Park, Department of Police",IL,,,,,33000,33000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0046,,
BJA136,Forsyth,GA,,,13386,,,13386,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA064,Fort Bragg,CA,,25219,,,,25219,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA110,Fort Lauderdale,FL,,600000,,,,600000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA187,Fort Thomas,KY,,5893,,,,5893,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA171,"Fort Wayne, City of ",IN,126585,,,,,126585,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA111,Franklin County,FL,,,81000,,,81000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA065,Fresno,CA,,,172500,,,172500,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA223,Fridley Police Department,MN,,,,63000,,63000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA137,Fulton County,GA,,108375,,,,108375,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA244,Garner,NC,,,83320,,,83320,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA138,Georgia Criminal Justice Coordinating Council,GA,,,,,500000,500000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0022,,
BJA139,Georgia Tech Research Corporation,GA,,,,,41199,41199,https://bja.ojp.gov/funding/awards/2019-bc-bx-0001,,
BJA039,"Glendale, City of",AZ,449986,,,,,449986,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA385,Government of the USVI - VI Police Department,VI,,,,300000,,300000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA084,Grand County Sheriff's Office,CO,,,,1602,,1602,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA369,"Greater Salt Lake, Unified Dept. District",UT,181540,,,,,181540,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA245,Greensboro,NC,,300000,,,,300000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA338,"Greenville, City of",SC,93750,,,,,93750,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA011,Gresham,OR,,,165000,,,165000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA287,Haledon,NJ,,17920,,,,17920,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA007,Hamilton County Sheriffs Office,OH,139500,,,,,139500,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA343,Hampton County,SC,,66000,,,,66000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA364,Harris County,TX,,,,1398812,,1398812,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA229,Hazelwood,MO,,56321,,,,56321,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA165,Henderson,IL,,11346,,,,11346,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA066,Hermosa Beach,CA,,,41681,,,41681,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA012,Hillsboro,OR,,217500,,,,217500,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA294,Hillsboro,OH,,11018,,,,11018,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA140,Hogansville,GA,,,10192,,,10192,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA365,Houston,TX,,358886,,,,358886,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA265,Humboldt County,NV,,40000,,,,40000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA044,Imperial County Sheriffs Office,CA,74770,,,,,74770,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
