Ref,Grant Recipient,State,Federal Award FY 2015,Federal Award FY 2016,Federal Award FY 2017 ,Federal Award FY 2018,Federal Award FY 2019 ,Total,BJA Link 1,BJA Link 2,BJA Link 3
BJA382,Roanoke,VA,,90000,,,,90000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA271,"Rochester, City of",NY,600000,,,,,600000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA344,Rock Hill,SC,,89339,,,,89339,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA304,Rogers County,OK,,46075,,,,46075,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA048,"Sacramento, City of",CA,599756,,,,,599756,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA215,Saint Paul Police De artment,MN,600000,,,,,600000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA280,Salamanca,NY,,8892,,,,8892,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA038,Salt River Pima-Maricopa Indian...,AZ,193596,,,,,193596,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA359,"San Antonio, City of",TX,1000000,,,,,1000000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA047,"San Bernardino, City of",CA,546502,,,,,546502,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA074,San Luis Obispo,CA,,74060,,,,74060,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA117,Santa Fe College,FL,,28490,,,,28490,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA142,Savannah,GA,,94532,,,,94532,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA281,Schenectady,NY,,,165000,,,165000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA189,Scottsville,KY,,15559,,,,15559,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA324,Scranton,PA,,94268,,,,94268,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA387,Seattle Police Department,WA,600000,,,,,600000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA118,Seminole Tribe of Florida,FL,,,,306000,,306000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA226,Shakopee,MN,,60000,,,,60000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA183,Shawnee,KS,,44003,,,,44003,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA298,Shawnee,OH,,6727,,,,6727,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA400,Sheridan,WY,,,36500,,,36500,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA075,Simi Valley,CA,,187500,,,,187500,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA367,"Somerville, City of",TX,,,,,12688,12688,https://bja.ojp.gov/funding/awards/2019-bc-bx-0064,,
BJA345,South Carolina Department of Mental Health,SC,,,,,71726,71726,https://bja.ojp.gov/funding/awards/2019-bc-bx-0065,,
BJA325,Southeastern Pennsylvania Transportation Authority (SEPTA),PA,,,,,500000,500000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0062,,
BJA339,"Spartanburg, City of",SC,184500,,,,,184500,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA268,"Spring Valley, Village of",NY,11905,,,,,11905,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA227,St. Anthony,MN,,,123000,,,123000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA125,St. Marys Police Department,GA,69000,,,,,69000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA088,"Stamford, City of",CT,600000,,,,,600000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA257,State Department of Public Safety,NJ,,575361,,,,575361,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA346,State Law Enforcement Division,SC,,450605,,,,450605,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA258,"State of New Jersey, Department of Law & Public Safety",NJ,,,,,1087938,1087938,https://bja.ojp.gov/funding/awards/2019-bc-bx-0031,,
BJA211,Sturgis,MI,,6261,,,,6261,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA143,Sumter County,GA,,,16265,,,16265,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA119,Sunrise,FL,,250000,,,,250000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA120,Suwannee County,FL,,,70500,,,70500,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA282,Syracuse University,NY,,88965,,,,88965,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA121,Tallahassee,FL,,,675000,,,675000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA259,The College of New Jersey,NJ,,,41432,,,41432,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA122,The Florida International University,FL,,,82500,,,82500,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA144,Tift County,GA,,,70500,,,70500,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA283,Town of Cheektowaga,NY,,,,,79665,79665,https://bja.ojp.gov/funding/awards/2019-bc-bx-0018,,
BJA093,Town of Laurel,DE,,,,,6068,6068,https://bja.ojp.gov/funding/awards/2019-bc-bx-0011,,
BJA284,Town of Rosendale,NY,,,,,8000,8000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0007,,
BJA260,Township of Holmdel,NJ,,,,,64000,64000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0072,,
BJA261,Township of Pemberton,NJ,,,,75000,,75000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA299,Township of Perkins,OH,,,,28129,,28129,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA043,Tucson,AZ,,,375000,,,375000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA305,Tulsa County,OK,,,291600,,,291600,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA300,"Tulsa, City of",OK,599200,,,,,599200,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA027,Tuscaloosa County Commission,AL,,,,30000,,30000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA155,"Twin Falls, City of",ID,90000,,,,,90000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA145,Unified Government of Athens-Clarke County,GA,,,56375,,,56375,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA178,Unified Government of Wyandotte County/Kansas City,KS,352500,,,,,352500,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA184,Unified Government of Wyandotte County/Kansas City,KS,,,342000,,,342000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA368,United Independent School Dist.,TX,,47061,,,,47061,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA036,University of Arkansas- Fort Smith,AR,,12000,,,,12000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA198,"University of Maryland, Baltimore",MD,,,,,43468,43468,https://bja.ojp.gov/funding/awards/2019-bc-bx-0069,,
BJA212,University of Michigan,MI,,,52500,,,52500,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA252,University of Nebraska at Omaha,NE,,20292,,,,20292,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA028,University of North Alabama,AL,,5707,,,,5707,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA123,University of North Florida,FL,,,29041,,,29041,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA306,University of Oregon,OR,,,49951,,,49951,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA285,Village of Bath,NY,,,,,14200,14200,https://bja.ojp.gov/funding/awards/2019-bc-bx-0047,,
BJA394,Village of Germantown,WI,,,,48000,,48000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA286,Village of Irvington,NY,,,,30000,,30000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA167,Village of Lakemoor,IL,,12413,,,,12413,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA168,Village of Lansing,IL,,,,,40000,40000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0019,,
BJA169,Village of Montgomery,IL,,,,50000,,50000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA383,Virginia Beach,VA,,,302000,,,302000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA076,Visalia,CA,,,153000,,,153000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA375,"Waynesboro, City of",VA,36445,,,,,36445,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA355,Webb County,TX,18959,,,,,18959,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA154,Webster County,IA,,9240,,,,9240,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA390,"West Allis, City of",WI,75000,46500,75000,,,196500,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,
BJA170,"West Lafayette, City of",IN,12166,,,,,12166,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA397,West Virginia Division of Natural Resources Law Enforcement Section,WV,,,,60459,,60459,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA086,Wheat Ridge,CO,,,172500,,,172500,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA269,"White Plains, City of",NY,31638,,,,,31638,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA177,"Wichita, City of",KS,250000,,,100500,,350500,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,
BJA124,Wilkinson County,GA,9523,,,,,9523,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA247,Wilson,NC,,,75806,,,75806,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA384,Winchester,VA,,104828,,,,104828,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA146,Woodstock,GA,,60000,,,,60000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
